id_cliente,nome_completo,cpf,data_nascimento,e-mail,telefone,cidade,uf,renda_mensal,segmento,data_cadastro
CLT-0720,Nicolas Barbosa,70150196797,1999-10-30,nicolas.barbosa77@hotmail.com,31967402206,Fortaleza,CE,8905.73,varejo,2018-06-21
CLT-0684,Samuel Lima,33891478524,1978-04-23,samuel.limagmail.com,31910434079,Belém,PA,14383.21,varejo,2017-04-24
CLT-0281,Sofia Costa,2702164871,1970-12-08,sofia.costa37@outlook.com,11937352196,Campinas,SP,59329.91,premium,2023-09-15
CLT-0258,Bruno Oliveira Lima,1591030021,1953-04-27,bruno.lima52@gmail.com,41937882442,Porto Alegre,RS,35733.1,varejo,2023-10-04
CLT-0762,João Pereira,55950263560,1959-04-11,,85961054545,Salvador,BA,2149.65,private,2024-12-03
CLT-0021,Larissa Monteiro,68071545168,1965-09-19,larissa.monteiro12@yahoo.com.br,85985697770,Goiânia,GO,16041.6,varejo,2026-03-07
CLT-0515,Wesley Rocha,35158807053,1952-01-13,WESLEY.ROCHA@HOTMAIL.COM,62929912996,Belém,PA,42410.96,private,2016-10-15
CLT-0558,Olívia Carvalho Gomes,85362689047,1966-05-25,olivia.gomes55@outlook.com,62953612035,Campinas,SP,3051.49,varejo,2015-01-27
CLT-0790,Marcos Almeida,48674163712,1999-02-23,,81964546655,Curitiba,PR,11064.03,varejo,2025-10-13
CLT-0784,Igor Ferreira Gomes,9900479412,1950-11-11,igor.gomes92@gmail.com,71911332414,Porto Alegre,RS,7555.3,varejo,2017-07-21
CLT-0681,Bruno Rodrigues,99000940656,1975-03-31,bruno.rodrigues57@outlook.com,41957595315,Fortaleza,CE,3897.2,premium,2022-06-25
CLT-0548,Igor Dias Ribeiro,88640675602,1976-11-10,igor.ribeiro83@outlook.com,62926923814,Curitiba,PR,13871.02,varejo,2016-09-28
CLT-0155,Bruno Lima Monteiro,31797062397,1959-05-15,bruno.monteiro26@outlook.com,,Belém,PA,29484.73,premium,2017-08-11
CLT-0540,Érico Santos Nascimento,04169105302,2050-05-25,erico.nascimento96@gmail.com,71988036975,Vitória,ES,14934.65,varejo,2023-09-15
CLT-0167,Natália Dias,75480157164,1969-03-14,natalia.dias49@yahoo.com.br,19982734700,Brasília,DF,1771.4,varejo,2024-06-08
CLT-0788,Mariana Freitas,23370071580,1952-10-12,mariana.freitas3@gmail.com,21954941795,Belém,PA,43887.84,varejo,2019-04-02
CLT-0527,Otávio Freitas,98654622021,2001-02-04,otavio.freitas42@hotmail.com,62990553431,Porto Alegre,RS,1912.93,varejo,2022-05-17
CLT-0650,Marcos Araújo,4290695222,2000-05-06,marcos.araujo3@gmail.com,41929501256,Manaus,AM,20527.71,premium,2015-04-22
CLT-0469,Renato Oliveira,93186928972,1999-05-14,renato.oliveira89@gmail.com,,Curitiba,PR,16505.96,private,2025-10-09
CLT-0417,Thiago Cardoso,94842495988,2000-01-08,thiago.cardoso3@hotmail.com,51966818403,Fortaleza,CE,7633.64,premium,2015-10-21
CLT-0188,Wesley Souza,21376037548,2004-11-10,wesley.souza21@outlook.com,62977996908,Florianópolis,SC,6928.84,premium,2024-06-16
CLT-0354,Isabela Martins Silva,45990802711,2004-01-06,isabela.silva93@yahoo.com.br,31948502505,Porto Alegre,RS,15755.94,premium,2022-02-08
CLT-0456,Thiago Ribeiro Pereira,89826041809,2005-12-02,,21985526918,Goiânia,GO,19319.22,varejo,2017-08-22
CLT-0656,Rafaela Barbosa Souza,87620990693,1987-04-19,rafaela.souza55@hotmail.com,,Belo Horizonte,MG,2974.31,varejo,2016-08-27
CLT-0168,Lucas Silva,53961367499,1982-12-19,lucas.silvagmail.com,19975576834,Rio De Janeiro,RJ,5302.81,varejo,2024-01-27
CLT-0517,César Cardoso,25511643690,1950-08-22,cesar.cardoso38@yahoo.com.br,41987258965,Curitiba,PR,,varejo,2024-06-17
CLT-0040,Carla Araújo,05486874034,1961-12-20,carla.araujo81@hotmail.com,19964385476,Goiânia,GO,17314.28,varejo,2023-12-21
CLT-0319,Yasmin Ferreira,36077633691,1979-05-19,yasmin.ferreira99@outlook.com,47994622993,Brasília,DF,24924.4,varejo,2025-12-20
CLT-0312,Vera Rodrigues Cardoso,05137171731,1970-06-27,vera.cardoso17@bol.com.br,81959141157,Florianópolis,SC,50467.22,varejo,2017-02-07
CLT-0099,Tatiane Rocha Araújo,84608106200,1999-08-31,tatiane.araujo70@outlook.com,31956955105,Manaus,AM,43312.25,premium,2021-08-14
CLT-0574,Carla Dias,58055811574,1992-10-04,carla.dias69@bol.com.br,71969925077,Rio De Janeiro,RJ,2063.65,premium,2023-08-12
CLT-0044,Igor Monteiro,42498182992,1961-07-30,igor.monteiro91@hotmail.com,47965311674,Vitória,ES,,varejo,2020-12-08
CLT-0393,Renato Monteiro,34438998278,1969-08-21,RENATO.MONTEIRO@HOTMAIL.COM,61978766591,Curitiba,PR,3196.41,varejo,2017-07-06
CLT-0632,Igor Carvalho Ferreira,69764878496,1964-07-09,igor.ferreira41@outlook.com,47957187022,São Paulo,SP,,premium,2018-05-02
CLT-0340,Yasmin Santos,70713984822,1968-11-17,yasmin.santos26@gmail.com,21920677716,Florianópolis,SC,,premium,2022-03-20
CLT-0652,Priscila Rocha,73664853207,1999-04-02,priscila.rocha26@outlook.com,11993215763,Rio De Janeiro,RJ,57073.16,premium,2024-02-29
CLT-0467,Paulo Silva Nascimento,75988759212,2007-09-13,paulo.nascimento20@gmail.com,71961063744,Manaus,AM,1494.45,varejo,2020-05-22
CLT-0245,Samuel  Oliveira,21568182096,2071-07-25,samuel.oliveira40@gmail.com,11957533641,Curitiba,PR,19504.87,premium,2017-03-02
CLT-0292,Wesley Carvalho Moreira,48831921342,1998-03-30,wesley.moreira25@outlook.com,85972746409,Curitiba,PR,13113.99,premium,2021-03-21
CLT-0577,Samuel Cardoso,9707745447,1998-03-10,SAMUEL.CARDOSO@HOTMAIL.COM,19932544222,Recife,PE,5314.75,varejo,2021-06-27
CLT-0332,Yasmin Souza,08780572151,1998-11-01,yasmin.souza29@yahoo.com.br,51914519041,Campinas,SP,37514.84,varejo,2017-12-28
CLT-0174,Igor Ribeiro,59416516231,2000-03-23,igor.ribeiro85@bol.com.br,21995519605,Vitória,ES,1687.17,varejo,2020-05-04
CLT-0455,Tatiane Silva,48268999626,1970-03-03,tatiane.silva99@bol.com.br,85948359846,Porto Alegre,RS,5852.57,varejo,2017-08-27
CLT-0572,Wesley Ribeiro,53137956100,1990-03-30,wesley.ribeiro84@outlook.com,19937782200,Goiânia,GO,57575.06,varejo,2016-05-23
CLT-0738,Marcos  Ribeiro,51325179044,1977-04-03,marcos.ribeiro36@gmail.com,71910225503,Vitória,ES,1735.61,varejo,2023-09-01
CLT-0252,Kevin Ribeiro,60002589552,1981-06-15,kevin.ribeiro65@outlook.com,41974124156,Vitória,ES,56106.92,premium,2016-02-27
CLT-0139,Carla Freitas Almeida,82307681040,1997-02-09,carla.almeida25@outlook.com,21964608649,Vitória,ES,6795.98,premium,2022-03-01
CLT-0659,César Oliveira,91573767105,1984-12-21,cesar.oliveira11@gmail.com,81989841016,Belém,PA,2908.54,varejo,2016-10-25
CLT-0813,Érico  Monteiro,95165712118,1994-02-07,erico.monteiro9@hotmail.com,21998802341,Goiânia,GO,7050.47,private,2017-12-15
CLT-0113,Samuel Ferreira,9476973577,1981-03-05,samuel.ferreira14@bol.com.br,51921067269,Brasília,DF,19364.19,premium,2020-02-27
CLT-0609,Isabela Rodrigues Santos,34843391332,1968-06-18,isabela.santos23@gmail.com,21945173593,Vitória,ES,2119.36,premium,2022-11-07
CLT-0568,Priscila Carvalho Araújo,54662323606,1972-12-14,priscila.araujo90@outlook.com,47996667680,Salvador,BA,24754.26,private,2023-05-13
CLT-0564,César Cardoso,17816780664,2005-05-07,cesar.cardoso30@bol.com.br,61996451848,Recife,PE,3307.42,premium,2020-08-31
CLT-0635,Isabela Costa Silva,67960828967,1967-12-26,isabela.silva65@outlook.com,62943887245,Florianópolis,SC,7176.98,varejo,2020-09-05
CLT-0005,Renato Ferreira Teixeira,97376311656,2070-02-27,renato.teixeira5@outlook.com,11926121993,Brasília,DF,4571.02,premium,2017-06-14
CLT-0464,Tatiane Santos,10064934039,1989-04-20,tatiane.santos71@gmail.com,31915144514,Belém,PA,3347.65,private,2021-05-17
CLT-0543,Sofia Pereira Martins,63271353867,1991-08-03,sofia.martins58@hotmail.com,47930544569,Rio De Janeiro,RJ,37947.8,varejo,2026-04-21
CLT-0765,Mariana Costa Pereira,24760960647,1964-12-09,mariana.pereira22@yahoo.com.br,61938986927,Salvador,BA,30347.45,varejo,2025-06-12
CLT-0644,Nicolas Oliveira,24000208601,1952-01-22,nicolas.oliveira67@hotmail.com,11962362409,Goiânia,GO,5924.27,private,2022-07-31
CLT-0304,Vinícius Ribeiro Barbosa,9736424809,1984-04-06,vinicius.barbosa56@gmail.com,51910827671,Belo Horizonte,MG,6069.03,premium,2017-11-29
CLT-0664,Carla Pereira,11761421524,1975-09-14,carla.pereira9@outlook.com,71997147905,Rio De Janeiro,RJ,5259.42,premium,2020-11-15
CLT-0774,Isabela Campos,46389012484,2004-10-04,,41979126725,Curitiba,PR,2022.25,private,2016-07-26
CLT-0662,Vera Silva,71634850895,1984-02-16,vera.silva6@gmail.com,11996687083,Manaus,AM,2077.89,private,2016-10-21
CLT-0636,Renato Araújo,01154617580,1952-02-27,renato.araujo80@outlook.com,85993481585,Porto Alegre,RS,2979.92,premium,2016-05-16
CLT-0749,Gustavo Barbosa,93957955192,1966-01-08,gustavo.barbosa23@bol.com.br,19923982204,Fortaleza,CE,58055.52,premium,2023-10-13
CLT-0150,Gustavo Pereira,72006425690,2004-02-10,GUSTAVO.PEREIRA@HOTMAIL.COM,81988338144,Fortaleza,CE,8418.33,premium,2016-07-28
CLT-0771,Carla Rocha Araújo,08518466898,1995-02-26,carla.araujo27@hotmail.com,47946433718,Curitiba,PR,1868.56,varejo,2024-03-29
CLT-0230,Vera Ribeiro,51113129014,1972-05-07,vera.ribeiro55@bol.com.br,,Manaus,AM,3371.69,private,2026-03-02
CLT-0185,Nicolas Lima,79334960501,1952-05-28,nicolas.lima39@yahoo.com.br,71991215764,São Paulo,SP,56096.61,private,2026-07-07
CLT-0474,Olívia Almeida,03115876054,1973-08-27,olivia.almeida59@hotmail.com,62973965400,Manaus,AM,6500.2,varejo,2024-01-02
CLT-0604,Isabela Costa Rocha,01779152446,1974-06-12,isabela.rochagmail.com,47936904461,Salvador,BA,42149.07,varejo,2016-05-28
CLT-0234,Natália Pereira Ferreira,23126043260,1988-06-25,natalia.ferreira55@hotmail.com,11972317673,Porto Alegre,RS,7022.23,varejo,2020-10-03
CLT-0043,Priscila Gomes Gomes,78291146786,1978-03-09,priscila.gomes66@hotmail.com,21930536194,Manaus,AM,1567.0,varejo,2022-09-23
CLT-0580,Tatiane Rocha,81896558344,1994-03-25,tatiane.rocha96@bol.com.br,71935703750,Vitória,ES,3417.82,varejo,2018-08-05
CLT-0058,Marcos Campos,00623120387,,marcos.campos63@hotmail.com,19989168993,Goiânia,GO,3317.18,premium,2024-03-23
CLT-0190,Vinícius Oliveira Santos,89434681054,1980-12-22,vinicius.santos70@outlook.com,11930438352,Campinas,SP,5802.52,varejo,2025-01-03
CLT-0599,Gabriela Freitas Pereira,79938444045,1951-03-11,gabriela.pereira81@gmail.com,21922506101,Curitiba,PR,13279.74,varejo,2016-02-26
CLT-0368,Natália Ferreira,24358853798,2003-01-05,natalia.ferreira43@bol.com.br,51950474370,Porto Alegre,RS,4753.35,premium,2022-07-26
CLT-0032,Bruno Oliveira Campos,67976438156,2000-10-22,bruno.campos42@bol.com.br,47989729633,Salvador,BA,2611.69,premium,2023-12-11
CLT-0248,Kevin Carvalho,14708272359,1981-04-21,kevin.carvalho51@yahoo.com.br,71920226922,Vitória,ES,59857.53,varejo,2019-10-15
CLT-0716,Fátima Teixeira,37006448854,1952-06-21,fatima.teixeira17@hotmail.com,61950202747,Recife,PE,12701.45,varejo,2015-03-22
CLT-0090,Rafaela Campos Cardoso,71709991738,1976-05-10,rafaela.cardosogmail.com,85958887768,Belo Horizonte,MG,11685.02,varejo,2018-01-30
CLT-0357,Sofia Campos,53765769277,1967-12-16,sofia.campos7@hotmail.com,19950712272,Manaus,AM,11027.99,varejo,2015-09-13
CLT-0306,João Moreira,16331942268,1952-08-26,joao.moreira37@bol.com.br,71955696233,Salvador,BA,41503.71,premium,2022-02-16
CLT-0492,Mariana Rodrigues,02453012398,1969-09-09,mariana.rodrigues47@gmail.com,31948501475,Belém,PA,17310.87,premium,2017-12-15
CLT-0510,César Santos Monteiro,78417159497,2005-03-03,CESAR.MONTEIRO@HOTMAIL.COM,47943281600,Brasília,DF,4882.65,varejo,2015-06-09
CLT-0562,Bruno Campos,86706632016,1985-11-13,bruno.campos74@hotmail.com,19912428775,Vitória,ES,30494.47,premium,2018-12-23
CLT-0768,Larissa Carvalho Nascimento,46105110900,1993-04-08,larissa.nascimento29@yahoo.com.br,21991326932,Brasília,DF,43884.1,premium,2023-08-05
CLT-0466,Thiago Dias,54262417842,1977-07-09,thiago.dias21@outlook.com,19934484585,Curitiba,PR,2021.8,varejo,2017-02-19
CLT-0643,Ana Silva,35719214967,1987-06-08,ana.silva60@outlook.com,,Recife,PE,19022.17,varejo,2023-09-09
CLT-0367,Otávio Gomes,54787698999,2003-09-27,otavio.gomes19@gmail.com,62990226610,Florianópolis,SC,13574.09,varejo,2016-05-30
CLT-0396,Mariana Pereira,35462127602,1974-09-11,mariana.pereira26@hotmail.com,19978872778,Rio De Janeiro,RJ,1949.0,varejo,2016-08-22
CLT-0063,Yasmin Moreira,39828073741,1976-12-14,yasmin.moreira89@yahoo.com.br,71991803280,Vitória,ES,31212.01,varejo,2018-06-16
CLT-0128,Renato Almeida,55904259792,1993-02-22,renato.almeida10@outlook.com,41942717124,Manaus,AM,23583.79,varejo,2016-03-12
CLT-0419,Bruno Rocha Araújo,28679632594,1983-01-28,bruno.araujo5@gmail.com,31997275411,Goiânia,GO,18797.2,premium,2019-12-26
CLT-0589,Nicolas Carvalho,47998460586,1961-07-21,nicolas.carvalho9@yahoo.com.br,47973374158,Rio De Janeiro,RJ,8924.42,varejo,2015-01-31
CLT-0363,Gabriela Carvalho,82749680491,2006-08-21,gabriela.carvalho91@yahoo.com.br,81958063666,Brasília,DF,1776.42,private,2024-07-27
CLT-0028,Juliana Carvalho,90053293183,1969-06-29,juliana.carvalho46@gmail.com,41963833417,Porto Alegre,RS,53921.33,varejo,2021-03-21
CLT-0138,Larissa Santos,51240568299,1992-12-25,larissa.santos53@gmail.com,51961521518,Curitiba,PR,3137.23,varejo,2020-04-30
CLT-0529,Felipe  Cardoso,18151985458,1998-09-29,felipe.cardoso76@bol.com.br,51934581297,Florianópolis,SC,4486.03,private,2015-09-04
CLT-0344,João Almeida,96288743127,1968-03-19,joao.almeida44@hotmail.com,71987467215,Salvador,BA,3956.75,varejo,2023-02-16
CLT-0276,Bruno Lima,26804085095,2060-01-04,bruno.limagmail.com,47945471448,Manaus,AM,35303.53,varejo,2024-09-25
CLT-0478,Samuel Santos Nascimento,72214257316,1966-11-23,samuel.nascimento57@bol.com.br,47930224565,Recife,PE,1438.34,varejo,2016-12-12
CLT-0669,Gabriela Carvalho,36018639945,1980-07-09,gabriela.carvalho9@outlook.com,62951236215,Belo Horizonte,MG,3130.56,premium,2019-11-18
CLT-0031,Renato Cardoso,15851493689,2002-08-13,renato.cardoso93@gmail.com,11953811474,Salvador,BA,6201.85,varejo,2021-06-12
CLT-0506,Priscila Teixeira,30275000305,1999-11-28,priscila.teixeira71@hotmail.com,71926686830,Rio De Janeiro,RJ,,varejo,2023-09-09
CLT-0627,Karina  Souza,69370632503,1989-09-16,karina.souzagmail.com,31991931739,Recife,PE,7674.25,varejo,2023-01-14
CLT-0777,Priscila Monteiro,71232036686,1965-03-10,,81988739931,Campinas,SP,4591.43,premium,2022-07-31
CLT-0531,Débora Nascimento,81612559046,1970-05-27,debora.nascimento2@outlook.com,81938324589,Salvador,BA,6288.9,varejo,2015-12-07
CLT-0760,Thiago Pereira Costa,26532735514,1994-02-18,thiago.costa25@yahoo.com.br,47918784086,São Paulo,SP,2579.61,premium,2021-01-03
CLT-0380,Paulo Moreira,20072024559,1975-09-13,PAULO.MOREIRA@HOTMAIL.COM,51964092637,Recife,PE,1481.08,private,2015-11-20
CLT-0170,Lucas Cardoso,80647969545,1952-12-12,lucas.cardoso50@yahoo.com.br,31970036715,Recife,PE,42151.36,varejo,2022-08-27
CLT-0154,Lucas Moreira Dias,88373403127,1996-05-12,lucas.dias39@outlook.com,11918856966,Curitiba,PR,2221.33,premium,2022-07-01
CLT-0104,Érico Silva Cardoso,2223943129,1998-12-17,erico.cardoso71@gmail.com,85985572198,Brasilia,DF,33754.07,private,2017-03-15
CLT-0250,Yasmin Souza,29635339055,1994-10-22,yasmin.souza17@yahoo.com.br,85930439177,Belém,PA,6102.7,varejo,2024-03-15
CLT-0308,Natália Almeida,32781952371,1999-12-07,natalia.almeida26@outlook.com,,Belém,PA,43104.09,varejo,2016-07-30
CLT-0048,Larissa Rodrigues,13075626368,2003-07-21,larissa.rodrigues22@bol.com.br,62920203262,Campinas,SP,6288.81,varejo,2025-09-23
CLT-0009,Renato Dias,0533158692,1989-08-22,renato.dias70@gmail.com,31977551406,Goiânia,GO,9777.13,varejo,2024-03-26
CLT-0242,Paulo Barbosa,05872105524,1962-05-27,paulo.barbosa75@yahoo.com.br,85978984973,Recife,PE,2459.28,varejo,2018-02-02
CLT-0693,Érico Ferreira Gomes,08488686562,1991-03-27,erico.gomes53@yahoo.com.br,19997624040,Manaus,AM,3753.33,premium,2018-11-09
CLT-0744,Henrique Barbosa Costa,55703934271,1978-08-29,henrique.costa48@outlook.com,71934726932,Goiânia,GO,41404.59,varejo,2016-03-24
CLT-0689,Diego Freitas,75626996208,1951-07-20,diego.freitas95@gmail.com,47924141063,Recife,PE,4136.28,premium,2018-02-13
CLT-0088,Karina Rodrigues,07229034944,1980-11-19,karina.rodrigues28@hotmail.com,61985205128,Fortaleza,CE,2724.24,premium,2023-11-28
CLT-0616,João Monteiro,54842035316,1953-06-20,joao.monteiro5@gmail.com,19925758957,São Paulo,SP,6210.0,varejo,2017-03-27
CLT-0183,Carla Monteiro,43864908108,1958-05-04,carla.monteiro81@bol.com.br,21986125151,Campinas,SP,8950.2,varejo,2026-04-17
CLT-0324,César Freitas,18268323035,1958-08-29,cesar.freitas30@yahoo.com.br,47996929602,Florianópolis,SC,16552.34,varejo,2020-03-02
CLT-0173,Otávio Pereira,23246651364,1951-09-02,otavio.pereira69@bol.com.br,51948687649,Fortaleza,CE,3176.1,varejo,2015-08-15
CLT-0070,Débora Oliveira,70127706324,2006-12-15,debora.oliveira37@outlook.com,51925296905,Vitória,ES,2504.08,varejo,2018-09-17
CLT-0277,Renato Barbosa,41384596094,1959-10-19,renato.barbosa93@bol.com.br,19912023036,Florianópolis,SC,4670.45,varejo,2020-06-12
CLT-0428,Marcos Dias Martins,04879788897,1997-12-04,marcos.martins4@gmail.com,62970989426,Salvador,BA,1596.38,varejo,2023-05-11
CLT-0083,César Pereira,01533688444,1956-08-28,cesar.pereira44@bol.com.br,47990433516,Salvador,BA,,premium,2021-09-08
CLT-0447,Ana Dias,16011241158,1954-10-26,ana.dias98@yahoo.com.br,85973611982,Campinas,SP,38957.94,varejo,2015-03-05
CLT-0065,Felipe Souza,51238282586,1987-04-27,felipe.souza45@yahoo.com.br,71940224053,São Paulo,SP,1514.77,premium,2015-08-28
CLT-0364,Fátima  Freitas Campos,99077560858,1967-11-12,fatima.campos44@bol.com.br,51981487918,Belo Horizonte,MG,3160.18,varejo,2023-01-08
CLT-0193,Carla Ribeiro Lima,19966365807,1960-12-22,carla.lima93@bol.com.br,31914066060,Vitória,ES,50467.15,varejo,2016-11-28
CLT-0672,Vera Gomes,39891370542,1950-08-28,vera.gomes85@gmail.com,,Curitiba,PR,11287.57,varejo,2016-09-15
CLT-0286,Henrique Freitas Freitas,79630448360,1998-02-10,HENRIQUE.FREITAS@HOTMAIL.COM,19962037737,Goiânia,GO,4935.08,premium,2023-10-12
CLT-0776,Eduarda Almeida,56541802882,1961-01-09,eduarda.almeida7@yahoo.com.br,31995739852,Rio De Janeiro,RJ,18584.05,varejo,2022-02-02
CLT-0723,Olívia Rodrigues Cardoso,24266225492,1964-01-22,olivia.cardoso7@gmail.com,47947831869,Brasília,DF,8113.81,varejo,2021-07-01
CLT-0177,Mariana Nascimento,29543165266,1985-11-12,mariana.nascimento84@hotmail.com,,Florianópolis,SC,32775.97,premium,2020-02-17
CLT-0694,Nicolas Santos Ribeiro,37449597521,1997-04-10,nicolas.ribeiro55@yahoo.com.br,21988246281,Belém,PA,44432.47,varejo,2022-05-25
CLT-0675,Renato Nascimento,91765047188,1964-08-19,renato.nascimento62@gmail.com,47965745488,São Paulo,SP,54944.98,varejo,2025-03-19
CLT-0163,Lucas Cardoso,24471462730,1987-10-03,lucas.cardoso63@gmail.com,21969278872,Recife,PE,39764.02,varejo,2025-04-09
CLT-0520,Fátima Rodrigues,33647704130,1959-06-25,fatima.rodrigues65@bol.com.br,21967194162,Recife,PE,10466.56,private,2024-05-26
CLT-0279,Gabriela Oliveira Monteiro,57490250429,1998-06-27,gabriela.monteiro88@yahoo.com.br,61993689326,Vitória,ES,11397.01,varejo,2019-10-27
CLT-0484,Gustavo Carvalho,07598897865,2005-08-26,GUSTAVO.CARVALHO22@YAHOO.COM.BR,41960584326,Curitiba,PR,5677.43,varejo,2023-07-29
CLT-0152,César Santos,90320204179,1953-04-28,cesar.santos87@bol.com.br,21928709145,Vitória,ES,6107.06,varejo,2016-05-31
CLT-0356,Olívia Teixeira,23945354614,1968-09-26,olivia.teixeira51@hotmail.com,19993857646,Sao Paulo,SP,15532.16,varejo,2023-10-09
CLT-0585,César Rodrigues,43322622777,1957-07-18,cesar.rodrigues89@bol.com.br,21977859294,Fortaleza,CE,,premium,2024-05-01
CLT-0343,Mariana Almeida,32657327599,1954-07-26,mariana.almeida4@hotmail.com,11925902070,Fortaleza,CE,,premium,2022-08-06
CLT-0691,Rafaela  Carvalho,01655623887,1992-10-20,rafaela.carvalho33@gmail.com,81972406694,Recife,PE,33219.28,private,2020-04-30
CLT-0425,Vera Costa Nascimento,76817225775,1961-12-30,,85953528927,Belo Horizonte,MG,26406.03,varejo,2015-09-25
CLT-0345,Marcos Rocha,15970996254,1951-10-13,marcos.rocha39@yahoo.com.br,85913849021,Campinas,SP,3999.37,private,2020-10-05
CLT-0539,Tatiane Almeida Freitas,70675169139,2051-04-28,tatiane.freitas51@bol.com.br,61933272465,Fortaleza,CE,15229.58,premium,2024-02-13
CLT-0377,Juliana Barbosa,65742231964,1952-02-03,juliana.barbosa75@gmail.com,51911983178,Brasilia,DF,3243.77,private,2024-05-13
CLT-0205,Natália Barbosa,03337363466,2065-08-01,natalia.barbosa48@bol.com.br,61951702388,Rio De Janeiro,RJ,30733.42,premium,2024-12-20
CLT-0753,Eduarda  Silva,62809241150,1972-03-09,eduarda.silva38@outlook.com,47976837810,Sao Paulo,SP,23799.35,varejo,2019-05-18
CLT-0677,Sofia Campos,5669375402,1973-05-24,sofia.campos56@bol.com.br,71921818727,Recife,PE,19716.86,premium,2018-06-10
CLT-0289,Felipe Ferreira Ribeiro,63757914521,2001-10-09,felipe.ribeiro3@yahoo.com.br,81950952374,Fortaleza,CE,48583.15,varejo,2025-08-15
