ID Cliente; Nome Completo ;CPF;Data Nasc.;E-mail;Telefone ;Cidade;UF ;Renda Mensal (R$);Segmento;Data Cadastro
CLT-0168;Lucas Silva;539.613.674-99;19-12-1982;lucas.silvagmail.com;19975576834;Rio de Janeiro;RJ;5302.81;varejo;27-jan-2024
CLT-0517;César Cardoso;25511643690;22-08-1950;cesar.cardoso38@yahoo.com.br;(41) 98725-8965;Curitiba;PR;N/A;Varejo;17-jun-2024
CLT-0040;Carla Araújo;054.868.740-34;20-12-1961;carla.araujo81@hotmail.com;(19) 96438-5476;Goiânia;GO ;17.314,28;varejo;21-12-2023
CLT-0319;Yasmin Ferreira;360.776.336-91;19/05/1979;yasmin.ferreira99@outlook.com;(47) 99462-2993;Brasília;DF;R$ 24.924,40;varejo;20-12-2025
CLT-0312;Vera Rodrigues Cardoso;05137171731;27/06/1970;vera.cardoso17@bol.com.br;+55 81 95914-1157;Florianópolis;sc;50467,22;Varejo;02-07-2017
CLT-0099;Tatiane Rocha Araújo;846.081.062-00;31-08-1999;tatiane.araujo70@outlook.com;(31) 95695-5105;Manaus;AM ;R$ 43.312,25;premium;14/08/2021
CLT-0574;Carla Dias;580.558.115-74;10-04-1992;carla.dias69@bol.com.br;+55 71 96992-5077;Rio de Janeiro;RJ;R$ 2.063,65;Premium;08/12/2023
CLT-0044;IGOR MONTEIRO;424.981.829-92;1961-07-30;igor.monteiro91@hotmail.com;47 965311674;Vitória;es;;varejo;2020-12-08
CLT-0393;renato monteiro;344.389.982-78;21-ago-1969;RENATO.MONTEIRO@HOTMAIL.COM;(61) 97876-6591;Curitiba;PR;R$ 3.196,41;varejo;07-06-2017
CLT-0632;Igor Carvalho Ferreira;697.648.784-96;07/09/1964;igor.ferreira41@outlook.com;47 957187022;São Paulo;SP ;sem info;Premium;05/02/2018
CLT-0340;Yasmin Santos;70713984822;17/11/1968;yasmin.santos26@gmail.com;21920677716;FLORIANÓPOLIS;sc;N/A;Premium;20/03/2022
CLT-0652;Priscila Rocha;73664853207;1999-04-02;priscila.rocha26@outlook.com;(11) 99321-5763;Rio de Janeiro;RJ;57073.16;premium;29-02-2024
CLT-0467;Paulo Silva Nascimento;75988759212;2007-09-13;paulo.nascimento20@gmail.com;71961063744;Manaus;AM;R$ 1.494,45;VAREJO;2020-05-22
CLT-0245;Samuel  Oliveira;21568182096;25/07/71;samuel.oliveira40@gmail.com;(11) 95753-3641;Curitiba;PR;19.504,87;PREMIUM;03-fev-2017
CLT-0292;wesley carvalho moreira;488.319.213-42;30/03/1998;wesley.moreira25@outlook.com;+55 85 97274-6409;curitiba;PR;13113,99;Premium;21-mar-2021
CLT-0577;SAMUEL CARDOSO;9707745447;1998-03-10;SAMUEL.CARDOSO@HOTMAIL.COM;(19) 93254-4222;RECIFE;PE ;5314.75;Varejo;27/06/2021
CLT-0332;Yasmin Souza;087.805.72151;11/01/1998;yasmin.souza29@yahoo.com.br;51914519041;campinas;SP;37514.84;varejo;28-dez-2017
CLT-0174;IGOR RIBEIRO;59416516231;2000-03-23;igor.ribeiro85@bol.com.br;(21) 99551-9605;Vitória;ES;1687,17;varejo;2020-05-04
CLT-0455;Tatiane Silva;48268999626;03-03-1970;tatiane.silva99@bol.com.br;85948359846;Porto Alegre;RS;5.852,57;Varejo;2017-08-27
CLT-0572;Wesley Ribeiro;53137956100;1990-03-30;wesley.ribeiro84@outlook.com;19937782200;Goiânia;GO;R$ 57575.06;VAREJO;23/05/2016
CLT-0738;Marcos  Ribeiro   ;51325179044;1977-04-03;marcos.ribeiro36@gmail.com;71 910225503;Vitória;es;1735,61;varejo;2023-09-01
CLT-0252;Kevin Ribeiro;600.025.89552;15-jun-1981;kevin.ribeiro65@outlook.com;+55 41 97412-4156;Vitória;ES;56.106,92;Premium;27-02-2016
CLT-0139;Carla Freitas Almeida   ;82307681040;1997-02-09;carla.almeida25@outlook.com;21 964608649;Vitória;es;R$ 6.795,98;Premium;03/01/2022
CLT-0659;César Oliveira;915.737.671-05;1984-12-21;cesar.oliveira11@gmail.com;81989841016;Belém;pa;R$ 2.908,54;Varejo;25/10/2016
CLT-0813;Érico  Monteiro;951.657.121-18;02-07-1994;erico.monteiro9@hotmail.com;21 998802341;GOIÂNIA;GO;7050.47;private;15/12/17
CLT-0113;Samuel Ferreira;9476973577;1981-03-05;samuel.ferreira14@bol.com.br;+55 51 92106-7269;Brasília;DF ;R$ 19364.19;premium;27-02-2020
CLT-0609;ISABELA RODRIGUES SANTOS;348.433.913-32;1968-06-18;isabela.santos23@gmail.com;(21) 94517-3593;Vitória;es;2.119,36;Premium;11-07-2022
CLT-0568;Priscila Carvalho Araújo   ;546.623.236-06;1972-12-14;priscila.araujo90@outlook.com;(47) 99666-7680;Salvador;BA;R$ 24.754,26;Private;2023-05-13
CLT-0564;CÉSAR CARDOSO;17816780664;2005-05-07;cesar.cardoso30@bol.com.br;(61) 99645-1848;Recife;PE;3307.42;premium;31/08/20
CLT-0635;Isabela Costa Silva;67960828967;1967-12-26;isabela.silva65@outlook.com;(62) 94388-7245;Florianópolis;SC;R$ 7.176,98;VAREJO;2020-09-05
CLT-0005;  Renato Ferreira Teixeira;973.763.116-56;27/02/70;renato.teixeira5@outlook.com;11926121993;Brasília;df;R$ 4.571,02;premium;14/06/2017
CLT-0464;Tatiane Santos;100.649.340-39;20/04/1989;tatiane.santos71@gmail.com;31915144514;Belém;PA;3.347,65;PRIVATE;17/05/2021
CLT-0543;Sofia Pereira Martins;632.713.538-67;08/03/1991;sofia.martins58@hotmail.com;47 930544569;Rio de Janeiro;RJ ;37.947,80;Varejo;21-04-2026
CLT-0765;Mariana Costa Pereira;247.609.606-47;1964-12-09;mariana.pereira22@yahoo.com.br;61938986927;Salvador;BA;30.347,45;VAREJO;2025-06-12
CLT-0644;Nicolas Oliveira;240.002.086-01;22-01-1952;nicolas.oliveira67@hotmail.com;+55 11 96236-2409;Goiânia;go;5.924,27;Private;31/07/2022
CLT-0304;VINÍCIUS RIBEIRO BARBOSA;9736424809;1984-04-06;vinicius.barbosa56@gmail.com;(51) 91082-7671;Belo Horizonte;MG;6069.03;Premium;29/11/2017
CLT-0664;Carla Pereira;11761421524;14/09/1975;carla.pereira9@outlook.com;(71) 99714-7905;rio de janeiro;RJ;R$ 5259.42;Premium;2020-11-15
CLT-0774;Isabela Campos;46389012484;2004-10-04;;41979126725;Curitiba;PR;R$ 2022.25;PRIVATE;26-jul-2016
CLT-0662;Vera Silva;716.348.508-95;16/02/1984;vera.silva6@gmail.com;(11) 99668-7083;Manaus;am;R$ 2.077,89;private;2016-10-21
CLT-0636;Renato Araújo   ;01154617580;27/02/1952;renato.araujo80@outlook.com;(85) 99348-1585;Porto Alegre;rs;2979.92;premium;16/05/2016
CLT-0749;Gustavo Barbosa;939.579.551-92;1966-01-08;gustavo.barbosa23@bol.com.br;(19) 92398-2204;fortaleza;CE;58055.52;PREMIUM;13-out-2023
CLT-0150;gustavo pereira;72006425690;02/10/04;GUSTAVO.PEREIRA@HOTMAIL.COM;81988338144;Fortaleza;ce;8418.33;Premium;2016-07-28
CLT-0771;Carla Rocha Araújo   ;08518466898;26-02-1995;carla.araujo27@hotmail.com;(47) 94643-3718;Curitiba;PR ;1.868,56;Varejo;29/03/2024
CLT-0230;Vera Ribeiro;51113129014;1972-05-07;vera.ribeiro55@bol.com.br;;Manaus;AM ;R$ 3.371,69;Private;2026-03-02
CLT-0185;Nicolas Lima;79334960501;28-05-1952;nicolas.lima39@yahoo.com.br;(71) 99121-5764;São Paulo;sp;56.096,61;Private;2026-07-07
CLT-0474;Olívia Almeida;031.158.760-54;1973-08-27;olivia.almeida59@hotmail.com;62973965400;MANAUS;AM;6500.20;Varejo;2024-01-02
CLT-0604;Isabela Costa Rocha;017.791.524-46;06/12/1974;isabela.rochagmail.com;(47) 93690-4461;Salvador;ba;42149,07;VAREJO;2016-05-28
CLT-0234;Natália Pereira Ferreira;23126043260;25/06/1988;natalia.ferreira55@hotmail.com;11972317673;Porto Alegre;RS;7022.23;varejo;10/03/2020
CLT-0043;Priscila Gomes Gomes;78291146786;03-09-1978;priscila.gomes66@hotmail.com;+55 21 93053-6194;Manaus;AM;1.567,00;VAREJO;23/09/2022
CLT-0580;Tatiane Rocha;81896558344;25/03/1994;tatiane.rocha96@bol.com.br;+55 71 93570-3750;Vitória;ES ;3417.82;Varejo;08/05/2018
CLT-0058;Marcos Campos;006.231.203-87;31/02/1985;marcos.campos63@hotmail.com;(19) 98916-8993;Goiânia;GO ;3.317,18;Premium;23/03/2024
CLT-0190;Vinícius Oliveira Santos;89434681054;22/12/1980;vinicius.santos70@outlook.com;(11) 93043-8352;Campinas;SP;5802.52;varejo;01/03/2025
CLT-0599;Gabriela Freitas Pereira;799.384.44045;1951-03-11;gabriela.pereira81@gmail.com;(21) 92250-6101;Curitiba;PR;13279,74;Varejo;2016-02-26
CLT-0368;Natália Ferreira;243.588.537-98;01-05-2003;natalia.ferreira43@bol.com.br;+55 51 95047-4370;Porto Alegre;RS ;4753.35;premium;26/07/2022
CLT-0032;Bruno Oliveira Campos;679.764.381-56;2000-10-22;bruno.campos42@bol.com.br;+55 47 98972-9633;SALVADOR;ba;R$ 2.611,69;Premium;12-nov-2023
CLT-0248;Kevin Carvalho;147.082.723-59;1981-04-21;kevin.carvalho51@yahoo.com.br;71 920226922;Vitória;ES;R$ 59857.53;VAREJO;15/10/2019
CLT-0716;Fátima Teixeira;37006448854;21-06-1952;fatima.teixeira17@hotmail.com;(61) 95020-2747;RECIFE;PE;12.701,45;Varejo;22/03/2015
CLT-0090;Rafaela Campos Cardoso;717.099.917-38;1976-05-10;rafaela.cardosogmail.com;(85) 95888-7768;Belo Horizonte;mg;11685,02;VAREJO;30-jan-2018
CLT-0357;Sofia Campos;53765769277;16/12/1967;sofia.campos7@hotmail.com;+55 19 95071-2272;Manaus;am;11027,99;varejo;2015-09-13
CLT-0306;João Moreira;163.319.422-68;26-08-1952;joao.moreira37@bol.com.br;71 955696233;Salvador;BA;41503.71;premium;2022-02-16
CLT-0492;Mariana Rodrigues;02453012398;09-09-1969;mariana.rodrigues47@gmail.com;(31) 94850-1475;BELÉM;PA;17310.87;Premium;15/12/2017
CLT-0510;  César Santos Monteiro;784.171.594-97;03/03/2005;CESAR.MONTEIRO@HOTMAIL.COM;47943281600;Brasília;DF ;4.882,65;Varejo;06/09/2015
CLT-0562;Bruno Campos;86706632016;1985-11-13;bruno.campos74@hotmail.com;(19) 91242-8775;vitória;ES;30494,47;PREMIUM;23-12-2018
CLT-0768;larissa carvalho nascimento;46105110900;04/08/1993;larissa.nascimento29@yahoo.com.br;(21) 99132-6932;Brasília;DF;R$ 43.884,10;PREMIUM;08/05/2023
CLT-0466;Thiago Dias   ;54262417842;1977-07-09;thiago.dias21@outlook.com;19 934484585;Curitiba;PR ;R$ 2.021,80;varejo;19/02/2017
CLT-0643;ana silva;35719214967;06-08-1987;ana.silva60@outlook.com;;Recife;pe;R$ 19022.17;Varejo;09/09/23
CLT-0367;OTÁVIO GOMES;547.876.989-99;27/09/2003;otavio.gomes19@gmail.com;62990226610;Florianópolis;sc;13574.09;Varejo;30/05/2016
CLT-0396;  Mariana Pereira;354.621.276-02;1974-09-11;mariana.pereira26@hotmail.com;(19) 97887-2778;Rio de Janeiro;RJ;R$ 1.949,00;varejo;22/08/2016
CLT-0063;Yasmin Moreira;39828073741;14-12-1976;yasmin.moreira89@yahoo.com.br;+55 71 99180-3280;Vitória;es;R$ 31.212,01;varejo;16-06-2018
CLT-0128;Renato Almeida;559.042.597-92;22/02/93;renato.almeida10@outlook.com;(41) 94271-7124;manaus;am;23583.79;Varejo;03/12/2016
CLT-0419;Bruno Rocha Araújo;286.796.325-94;28/01/1983;bruno.araujo5@gmail.com;31 997275411;Goiânia;go;18797,20;Premium;26/12/19
CLT-0589;Nicolas Carvalho;47998460586;1961-07-21;nicolas.carvalho9@yahoo.com.br;47 973374158;Rio de Janeiro;rj;8.924,42;Varejo;31/01/15
CLT-0363;Gabriela Carvalho;82749680491;2006-08-21;gabriela.carvalho91@yahoo.com.br;(81) 95806-3666;BRASÍLIA;df;1776.42;Private;27/07/2024
CLT-0028;Juliana Carvalho;90053293183;29-06-1969;juliana.carvalho46@gmail.com;41 963833417;PORTO ALEGRE;RS ;53.921,33;Varejo;21/03/21
CLT-0138;Larissa Santos;512.405.682-99;1992-12-25;larissa.santos53@gmail.com;(51) 96152-1518;Curitiba;PR ;R$ 3.137,23;VAREJO;30/04/2020
CLT-0529;Felipe  Cardoso   ;181.519.854-58;1998-09-29;felipe.cardoso76@bol.com.br;(51) 93458-1297;Florianópolis;SC ;R$ 4.486,03;Private;09/04/2015
CLT-0344;JOÃO ALMEIDA;962.887.431-27;19/03/1968;joao.almeida44@hotmail.com;71987467215;Salvador;BA ;3956.75;Varejo;16/02/23
CLT-0276;Bruno Lima;268.040.85095;01/04/60;bruno.limagmail.com;47945471448;Manaus;AM;35303,53;Varejo;25/09/24
CLT-0478;Samuel Santos Nascimento;722.142.573-16;23/11/1966;samuel.nascimento57@bol.com.br;47 930224565;Recife;PE;1.438,34;varejo;2016-12-12
CLT-0669;GABRIELA CARVALHO;360.186.399-45;07-09-1980;gabriela.carvalho9@outlook.com;(62) 95123-6215;belo horizonte;MG ;R$ 3.130,56;premium;18-11-2019
CLT-0031;renato cardoso;15851493689;2002-08-13;renato.cardoso93@gmail.com;(11) 95381-1474;Salvador;BA;6201.85;Varejo;06/12/21
CLT-0506;Priscila Teixeira;30275000305;28-11-1999;priscila.teixeira71@hotmail.com;+55 71 92668-6830;Rio de Janeiro;RJ;-;Varejo;09/09/2023
CLT-0627;Karina  Souza;693.706.325-03;16/09/1989;karina.souzagmail.com;31991931739;recife;PE;7674.25;varejo;14/01/2023
CLT-0777;Priscila Monteiro;712.320.36686;03/10/1965;;81988739931;Campinas;SP ;4.591,43;Premium;31/07/2022
CLT-0531;Débora Nascimento;816.125.590-46;27/05/1970;debora.nascimento2@outlook.com;(81) 93832-4589;Salvador;BA;6.288,90;Varejo;12/07/2015
CLT-0760;Thiago Pereira Costa;26532735514;18/02/1994;thiago.costa25@yahoo.com.br;(47) 91878-4086;São Paulo;SP;R$ 2.579,61;Premium;2021-01-03
CLT-0380;Paulo Moreira;200.720.245-59;13/09/1975;PAULO.MOREIRA@HOTMAIL.COM;(51) 96409-2637;Recife;pe;1.481,08;private;2015-11-20
CLT-0170;Lucas Cardoso;806.479.695-45;1952-12-12;lucas.cardoso50@yahoo.com.br;31 970036715;Recife;PE;42.151,36;varejo;27/08/2022
CLT-0154;LUCAS MOREIRA DIAS;88373403127;05/12/1996;lucas.dias39@outlook.com;(11) 91885-6966;curitiba;PR ;2.221,33;premium;2022-07-01
CLT-0104;Érico Silva Cardoso   ;2223943129;17/12/98;erico.cardoso71@gmail.com;(85) 98557-2198;Brasilia;DF;R$ 33.754,07;private;15/03/2017
CLT-0250;Yasmin Souza;296.353.390-55;22/10/94;yasmin.souza17@yahoo.com.br;+55 85 93043-9177;Belém;pa;6.102,70;Varejo;15/03/2024
CLT-0308;natália almeida;327.819.523-71;12/07/1999;natalia.almeida26@outlook.com;;Belém;PA;43104,09;VAREJO;30-07-2016
CLT-0048;Larissa Rodrigues;13075626368;21/07/03;larissa.rodrigues22@bol.com.br;62920203262;Campinas;SP;6.288,81;varejo;2025-09-23
CLT-0009;  RENATO DIAS;0533158692;22-ago-1989;renato.dias70@gmail.com;(31) 97755-1406;Goiânia;go;R$ 9777.13;varejo;26-03-2024
CLT-0242;Paulo Barbosa;05872105524;27-05-1962;paulo.barbosa75@yahoo.com.br;(85) 97898-4973;Recife;PE ;R$ 2.459,28;Varejo;02/02/2018
CLT-0693;Érico Ferreira Gomes;08488686562;27/03/1991;erico.gomes53@yahoo.com.br;19 997624040;Manaus;AM ;R$ 3.753,33;Premium;11-09-2018
CLT-0744;Henrique Barbosa Costa;55703934271;29-ago-1978;henrique.costa48@outlook.com;71934726932;GOIÂNIA;go;41404.59;varejo;24/03/2016
CLT-0689;Diego Freitas;756.269.962-08;20/07/1951;diego.freitas95@gmail.com;(47) 92414-1063;Recife;PE;4.136,28;PREMIUM;2018-02-13
CLT-0088;Karina Rodrigues;072.290.349-44;19/11/1980;karina.rodrigues28@hotmail.com;(61) 98520-5128;Fortaleza;CE ;R$ 2.724,24;premium;2023-11-28
CLT-0616;João Monteiro;548.420.353-16;1953-06-20;joao.monteiro5@gmail.com;19 925758957;São Paulo;sp;R$ 6210.00;varejo;27/03/2017
CLT-0183;Carla Monteiro;438.649.081-08;1958-05-04;carla.monteiro81@bol.com.br;21986125151;campinas;SP;8.950,20;Varejo;17/04/2026
CLT-0324;CÉSAR FREITAS;18268323035;29-08-1958;cesar.freitas30@yahoo.com.br;(47) 99692-9602;Florianópolis;SC;16.552,34;Varejo;2020-03-02
CLT-0173;Otávio Pereira;23246651364;1951-09-02;otavio.pereira69@bol.com.br;(51) 94868-7649;Fortaleza;ce;R$ 3.176,10;Varejo;15/08/2015
CLT-0070;Débora Oliveira;701.277.063-24;15/12/06;debora.oliveira37@outlook.com;(51) 92529-6905;Vitória;ES;2.504,08;VAREJO;17/09/2018
CLT-0277;Renato Barbosa;413.845.960-94;1959-10-19;renato.barbosa93@bol.com.br;19912023036;Florianópolis;SC;4670.45;Varejo;06-12-2020
CLT-0428;marcos dias martins;048.797.888-97;12/04/1997;marcos.martins4@gmail.com;62970989426;Salvador;BA;R$ 1.596,38;Varejo;05/11/23
CLT-0083;  césar pereira;015.336.884-44;28/08/1956;cesar.pereira44@bol.com.br;(47) 99043-3516;Salvador;BA;;Premium;09-08-2021
CLT-0447;Ana Dias;16011241158;26/10/1954;ana.dias98@yahoo.com.br;(85) 97361-1982;Campinas;sp;R$ 38957.94;Varejo;03/05/2015
CLT-0065;Felipe Souza;512.382.82586;27/04/1987;felipe.souza45@yahoo.com.br;+55 71 94022-4053;São Paulo;SP ;1.514,77;Premium;28-08-2015
CLT-0364;Fátima  Freitas Campos;990.775.608-58;1967-11-12;fatima.campos44@bol.com.br;(51) 98148-7918;Belo Horizonte;MG;R$ 3.160,18;Varejo;2023-01-08
CLT-0193;Carla Ribeiro Lima;19966365807;1960-12-22;carla.lima93@bol.com.br;+55 31 91406-6060;Vitória;ES;R$ 50.467,15;VAREJO;28/11/2016
CLT-0672;Vera Gomes;398.913.705-42;28/08/1950;vera.gomes85@gmail.com;;Curitiba;PR ;R$ 11.287,57;Varejo;2016-09-15
CLT-0286;Henrique Freitas Freitas;79630448360;02/10/1998;HENRIQUE.FREITAS@HOTMAIL.COM;19962037737;Goiânia;GO ;4.935,08;Premium;10/12/2023
CLT-0776;EDUARDA ALMEIDA;565.418.028-82;01/09/1961;eduarda.almeida7@yahoo.com.br;31995739852;Rio de Janeiro;RJ;18.584,05;Varejo;02-02-2022
CLT-0723;Olívia Rodrigues Cardoso;242.662.25492;22/01/1964;olivia.cardoso7@gmail.com;+55 47 94783-1869;Brasília;DF;R$ 8.113,81;Varejo;07/01/21
